N,D,sigma,tau,omega,Cp*
3,4,0.54,0.2100,0.200000,0.07055
3,2,0.72,0.1200,0.500000,0.070537
2,2,0.26,0.1200,0.300000,0.070298
3,3,0.26,0.1200,0.300000,0.070298
4,4,0.26,0.1200,0.300000,0.070298
2,1,0.36,0.1500,0.266667,0.070261
4,2,0.36,0.1500,0.266667,0.070261
2,2,0.26,0.1800,0.233333,0.070002
3,3,0.26,0.1800,0.233333,0.070002
4,4,0.26,0.1800,0.233333,0.070002
3,2,0.26,0.1200,0.766667,0.069744
3,2,0.36,0.1500,0.666667,0.069393
2,2,0.36,0.1200,0.700000,0.069382
3,3,0.36,0.1200,0.700000,0.069382
4,4,0.36,0.1200,0.700000,0.069382
2,2,0.36,0.2100,0.666667,0.069306
3,3,0.36,0.2100,0.666667,0.069306
4,4,0.36,0.2100,0.666667,0.069306
4,3,0.18,0.2100,0.300000,0.069187
2,2,0.54,0.1800,0.566667,0.068936
4,4,0.54,0.1800,0.566667,0.068936
3,2,0.54,0.1200,0.600000,0.068882
3,1,0.36,0.1500,0.266667,0.068641
3,4,0.18,0.2100,0.266667,0.068605
3,1,0.26,0.2100,0.266667,0.068029
3,4,0.26,0.1800,0.800000,0.067735
3,2,0.72,0.2100,0.166667,0.067643
2,3,0.26,0.2100,0.800000,0.066909
2,1,0.18,0.1800,0.266667,0.066859
4,2,0.18,0.1800,0.266667,0.066859
4,1,0.54,0.1800,0.200000,0.06681
4,1,0.26,0.1200,0.300000,0.066626
2,1,0.18,0.1200,0.333333,0.066581
4,2,0.18,0.1200,0.333333,0.066581
4,1,0.54,0.1500,0.500000,0.066481
2,1,0.26,0.1500,0.733333,0.065997
4,2,0.26,0.1500,0.733333,0.065997
2,2,0.18,0.1800,0.266667,0.065527
3,3,0.18,0.1800,0.266667,0.065527
4,4,0.18,0.1800,0.266667,0.065527
3,2,0.26,0.2100,0.266667,0.065382
3,4,0.36,0.1500,0.233333,0.0651
3,1,0.72,0.1200,0.233333,0.065067
4,1,0.26,0.1800,0.233333,0.064891
3,4,0.54,0.1500,0.600000,0.064841
3,4,0.54,0.2100,0.566667,0.064669
3,4,0.72,0.1500,0.200000,0.064347
3,2,0.72,0.1800,0.166667,0.064324
4,1,0.72,0.1200,0.233333,0.063455
2,1,0.72,0.1800,0.166667,0.063412
2,2,0.36,0.1800,0.200000,0.063411
3,3,0.36,0.1800,0.200000,0.063411
4,4,0.36,0.1800,0.200000,0.063411
4,3,0.36,0.1500,0.666667,0.063386
4,2,0.72,0.1800,0.166667,0.063229
4,3,0.72,0.1200,0.233333,0.063174
4,3,0.18,0.1200,0.333333,0.063084
3,2,0.18,0.1800,0.266667,0.062993
3,1,0.72,0.1800,0.200000,0.0629
2,3,0.54,0.2100,0.200000,0.0628
2,4,0.72,0.1200,0.533333,0.062787
3,4,0.72,0.1200,0.533333,0.062637
2,2,0.18,0.2100,0.833333,0.062328
3,3,0.18,0.2100,0.833333,0.062328
4,4,0.18,0.2100,0.833333,0.062328
2,2,0.36,0.1500,0.200000,0.062222
3,3,0.36,0.2100,0.200000,0.062222
4,1,0.18,0.2100,0.300000,0.062222
4,4,0.36,0.2100,0.200000,0.062222
3,1,0.26,0.1200,0.300000,0.062091
2,1,0.18,0.2100,0.733333,0.062041
4,2,0.18,0.2100,0.733333,0.062041
3,2,0.72,0.1200,0.233333,0.061979
3,1,0.26,0.1800,0.233333,0.061822
2,1,0.18,0.1200,0.833333,0.061719
4,2,0.18,0.1200,0.833333,0.061719
3,2,0.26,0.1800,0.733333,0.061331
3,2,0.18,0.1200,0.333333,0.061307
2,1,0.72,0.1200,0.233333,0.061284
4,2,0.72,0.1200,0.233333,0.061284
4,3,0.72,0.2100,0.166667,0.061168
4,3,0.18,0.1800,0.266667,0.061151
3,4,0.36,0.2100,0.200000,0.061101
2,2,0.26,0.1500,0.266667,0.060961
3,3,0.26,0.1500,0.266667,0.060961
4,4,0.26,0.1500,0.266667,0.060961
3,4,0.36,0.1800,0.200000,0.060866
4,3,0.26,0.1200,0.300000,0.060723
2,1,0.54,0.2100,0.200000,0.060707
4,2,0.54,0.2100,0.200000,0.060707
3,2,0.72,0.1500,0.500000,0.060643
4,3,0.72,0.1800,0.166667,0.060453
2,1,0.26,0.2100,0.266667,0.060391
4,2,0.26,0.2100,0.266667,0.060391
3,1,0.18,0.1500,0.300000,0.060324
2,3,0.36,0.1200,0.266667,0.060211
4,3,0.26,0.1200,0.766667,0.059986
3,2,0.72,0.1500,0.200000,0.059941
2,2,0.18,0.1500,0.300000,0.059729
3,3,0.18,0.1500,0.300000,0.059729
4,4,0.18,0.1500,0.300000,0.059729
2,4,0.72,0.1800,0.500000,0.059236
3,4,0.36,0.1200,0.266667,0.059128
3,4,0.36,0.1200,0.733333,0.059086
2,3,0.36,0.1800,0.200000,0.058878
3,3,0.54,0.1800,0.200000,0.058878
3,1,0.54,0.1800,0.200000,0.058845
3,2,0.54,0.1800,0.566667,0.058718
2,4,0.72,0.2100,0.500000,0.058609
3,2,0.26,0.1200,0.300000,0.058425
2,2,0.26,0.2100,0.233333,0.05826
3,3,0.26,0.2100,0.233333,0.05826
4,4,0.26,0.2100,0.233333,0.05826
4,2,0.72,0.2100,0.166667,0.058035
3,1,0.36,0.2100,0.533333,0.057778
4,2,0.26,0.1200,0.766667,0.057274
2,4,0.18,0.1800,0.233333,0.057208
2,4,0.18,0.2100,0.233333,0.057192
4,3,0.26,0.1800,0.233333,0.056616
2,3,0.36,0.2100,0.200000,0.056555
2,2,0.54,0.1500,0.600000,0.056365
3,3,0.54,0.1500,0.600000,0.056365
4,4,0.54,0.1500,0.600000,0.056365
2,3,0.54,0.1500,0.600000,0.056047
2,1,0.18,0.1500,0.300000,0.055768
4,2,0.18,0.1500,0.300000,0.055768
2,3,0.36,0.1200,0.733333,0.055653
2,1,0.26,0.1800,0.233333,0.05535
4,2,0.26,0.1800,0.233333,0.05535
4,3,0.54,0.1500,0.600000,0.055009
4,2,0.26,0.1200,0.300000,0.054612
3,4,0.18,0.1500,0.966667,0.054505
2,1,0.26,0.1200,0.300000,0.054304
4,1,0.36,0.2100,0.233333,0.054195
3,4,0.54,0.1500,0.200000,0.053366
3,2,0.26,0.1800,0.233333,0.053258
4,1,0.26,0.1500,0.266667,0.052694
3,1,0.54,0.1800,0.500000,0.052361
2,2,0.36,0.1200,0.266667,0.052209
3,3,0.36,0.1200,0.266667,0.052209
4,4,0.36,0.1200,0.266667,0.052209
2,4,0.26,0.1200,0.866667,0.05173
4,1,0.54,0.1500,0.233333,0.051637
2,4,0.36,0.1200,0.266667,0.051556
3,2,0.18,0.1500,0.300000,0.051513
2,1,0.54,0.2100,0.533333,0.051345
4,2,0.54,0.2100,0.533333,0.051345
2,3,0.72,0.1500,0.533333,0.051333
4,3,0.36,0.1200,0.266667,0.051104
2,4,0.36,0.1800,0.200000,0.050413
4,3,0.36,0.1800,0.200000,0.050407
2,4,0.18,0.1200,0.300000,0.050307
4,3,0.18,0.1500,0.300000,0.05019
4,1,0.36,0.1200,0.266667,0.050098
2,4,0.54,0.2100,0.200000,0.050066
2,4,0.54,0.1800,0.200000,0.049971
2,2,0.26,0.2100,0.766667,0.049869
3,3,0.26,0.2100,0.766667,0.049869
4,4,0.26,0.2100,0.766667,0.049869
3,1,0.72,0.1800,0.566667,0.049638
2,4,0.18,0.1500,0.266667,0.049603
2,3,0.18,0.1800,0.233333,0.049567
3,2,0.18,0.1500,0.800000,0.049563
4,1,0.36,0.1800,0.200000,0.049502
2,4,0.26,0.1500,0.233333,0.049458
2,3,0.54,0.1500,0.200000,0.04939
3,1,0.26,0.1500,0.266667,0.049177
3,2,0.36,0.1800,0.666667,0.049108
2,3,0.72,0.1500,0.200000,0.049096
3,2,0.36,0.1200,0.266667,0.048906
3,2,0.26,0.2100,0.733333,0.048856
4,3,0.26,0.1500,0.266667,0.048849
3,1,0.54,0.1500,0.233333,0.048632
3,1,0.36,0.2100,0.233333,0.048552
2,2,0.36,0.1500,0.700000,0.048292
3,3,0.36,0.1500,0.700000,0.048292
4,4,0.36,0.1500,0.700000,0.048292
4,1,0.18,0.2100,0.266667,0.048283
4,1,0.72,0.2100,0.200000,0.048121
2,2,0.26,0.1500,0.800000,0.048094
3,3,0.26,0.1500,0.800000,0.048094
4,4,0.26,0.1500,0.800000,0.048094
2,4,0.18,0.1500,1.000000,0.048092
4,3,0.54,0.2100,0.166667,0.047714
3,2,0.18,0.1200,0.833333,0.047548
2,2,0.72,0.1800,0.166667,0.047521
4,4,0.72,0.1800,0.166667,0.047521
2,3,0.36,0.1800,0.700000,0.047383
3,3,0.54,0.1800,0.700000,0.047383
2,3,0.54,0.1200,0.633333,0.047277
3,4,0.18,0.1800,0.933333,0.047261
2,2,0.36,0.1500,0.233333,0.047099
3,3,0.36,0.1500,0.233333,0.047099
4,4,0.36,0.1500,0.233333,0.047099
3,1,0.26,0.1200,0.733333,0.046652
4,1,0.18,0.1800,0.233333,0.046604
3,1,0.18,0.2100,0.266667,0.046602
4,3,0.54,0.1800,0.166667,0.046557
2,4,0.54,0.1500,0.600000,0.046303
2,1,0.72,0.1500,0.200000,0.046089
4,2,0.72,0.1500,0.200000,0.046089
2,4,0.36,0.2100,0.700000,0.045737
2,1,0.36,0.2100,0.233333,0.045682
4,2,0.36,0.2100,0.233333,0.045682
3,2,0.18,0.2100,0.733333,0.045681
3,2,0.36,0.1800,0.200000,0.04559
2,3,0.26,0.2100,0.200000,0.045527
2,3,0.18,0.1200,0.300000,0.045519
2,2,0.18,0.2100,0.266667,0.045411
3,3,0.18,0.2100,0.266667,0.045411
4,4,0.18,0.2100,0.266667,0.045411
3,2,0.26,0.1500,0.266667,0.045301
3,1,0.36,0.1800,0.200000,0.045219
3,1,0.18,0.1800,0.233333,0.045071
3,4,0.18,0.1800,0.233333,0.045046
2,2,0.54,0.1500,0.200000,0.044832
3,3,0.54,0.1500,0.200000,0.044832
4,4,0.54,0.1500,0.200000,0.044832
2,3,0.26,0.1800,0.200000,0.044826
2,1,0.72,0.1200,0.500000,0.044768
4,2,0.72,0.1200,0.500000,0.044768
3,4,0.26,0.1800,0.200000,0.044315
4,3,0.26,0.2100,0.733333,0.044245
4,1,0.18,0.1200,0.300000,0.04416
4,3,0.36,0.1800,0.666667,0.044143
3,1,0.72,0.1200,0.466667,0.043888
3,2,0.54,0.1800,0.166667,0.043741
3,1,0.36,0.1200,0.266667,0.043628
4,1,0.72,0.1500,0.433333,0.043495
3,4,0.18,0.1200,0.300000,0.043428
4,3,0.72,0.2100,0.500000,0.043113
2,1,0.36,0.1200,0.266667,0.043053
4,2,0.36,0.1200,0.266667,0.043053
2,1,0.18,0.2100,0.266667,0.043034
4,2,0.18,0.2100,0.266667,0.043034
2,4,0.36,0.2100,0.200000,0.042874
2,1,0.26,0.1500,0.266667,0.042871
4,2,0.26,0.1500,0.266667,0.042871
3,4,0.26,0.2100,0.200000,0.042804
4,4,0.72,0.1200,0.233333,0.042529
2,3,0.18,0.2100,0.233333,0.042452
2,4,0.26,0.1800,0.200000,0.042347
3,4,0.18,0.2100,0.900000,0.042286
3,1,0.18,0.1200,0.300000,0.04227
2,2,0.72,0.1200,0.233333,0.042232
3,3,0.72,0.1200,0.233333,0.042232
2,1,0.54,0.1500,0.266667,0.042172
2,3,0.18,0.1500,0.266667,0.042172
3,2,0.36,0.1200,0.700000,0.041979
2,1,0.18,0.1800,0.233333,0.04182
4,2,0.18,0.1800,0.233333,0.04182
2,2,0.54,0.2100,0.166667,0.041326
3,3,0.54,0.2100,0.166667,0.041326
4,4,0.54,0.2100,0.166667,0.041326
4,1,0.72,0.1800,0.166667,0.041197
2,4,0.26,0.2100,0.200000,0.041122
2,2,0.54,0.1800,0.166667,0.041107
4,4,0.54,0.1800,0.166667,0.041107
3,4,0.72,0.1200,0.233333,0.04057
2,4,0.72,0.1500,0.533333,0.040541
3,2,0.54,0.2100,0.166667,0.040513
2,4,0.72,0.1800,0.200000,0.040225
4,1,0.26,0.2100,0.233333,0.039975
3,2,0.72,0.1800,0.500000,0.039837
2,4,0.26,0.1200,0.266667,0.039708
4,3,0.36,0.1500,0.233333,0.039658
3,2,0.18,0.2100,0.266667,0.039656
4,1,0.18,0.1500,0.833333,0.039325
3,2,0.18,0.1800,0.233333,0.038908
4,3,0.54,0.2100,0.566667,0.038854
3,2,0.54,0.2100,0.566667,0.03877
4,3,0.36,0.2100,0.200000,0.038689
2,4,0.72,0.2100,0.200000,0.038661
3,4,0.36,0.1800,0.700000,0.038612
4,1,0.26,0.1800,0.200000,0.038565
2,1,0.18,0.1200,0.300000,0.038477
4,2,0.18,0.1200,0.300000,0.038477
2,1,0.36,0.1800,0.200000,0.038279
4,2,0.36,0.1800,0.200000,0.038279
4,3,0.18,0.2100,0.266667,0.038066
3,4,0.18,0.1500,0.266667,0.037927
2,2,0.72,0.2100,0.166667,0.037882
3,3,0.72,0.2100,0.166667,0.037882
4,4,0.72,0.2100,0.166667,0.037882
4,1,0.54,0.2100,0.200000,0.037392
2,2,0.54,0.2100,0.566667,0.037372
3,3,0.54,0.2100,0.566667,0.037372
4,4,0.54,0.2100,0.566667,0.037372
2,3,0.18,0.1800,0.933333,0.037364
4,3,0.18,0.1800,0.233333,0.037298
2,2,0.18,0.1200,0.300000,0.037218
3,3,0.18,0.1200,0.300000,0.037218
4,4,0.18,0.1200,0.300000,0.037218
2,2,0.18,0.1800,0.233333,0.037191
3,3,0.18,0.1800,0.233333,0.037191
4,4,0.18,0.1800,0.233333,0.037191
3,1,0.54,0.1500,0.533333,0.037149
3,1,0.26,0.2100,0.233333,0.037123
3,2,0.72,0.2100,0.500000,0.037119
4,3,0.18,0.1800,0.900000,0.036992
4,4,0.72,0.1200,0.533333,0.036806
4,1,0.36,0.1500,0.233333,0.036753
2,1,0.18,0.1800,0.800000,0.036715
4,2,0.18,0.1800,0.800000,0.036715
2,2,0.72,0.1200,0.533333,0.036601
3,3,0.72,0.1200,0.533333,0.036601
2,3,0.72,0.1200,0.233333,0.036297
3,1,0.72,0.1500,0.200000,0.036193
3,1,0.26,0.1800,0.200000,0.03619
2,2,0.54,0.1200,0.233333,0.035974
3,3,0.54,0.1200,0.233333,0.035974
4,3,0.54,0.1200,0.233333,0.035974
4,4,0.54,0.1200,0.233333,0.035974
4,3,0.26,0.2100,0.233333,0.035773
3,2,0.36,0.1500,0.233333,0.035691
2,3,0.26,0.1500,0.233333,0.035448
4,1,0.18,0.1500,0.266667,0.035275
4,1,0.26,0.1200,0.266667,0.03515
2,2,0.26,0.1800,0.200000,0.035117
3,3,0.26,0.1800,0.200000,0.035117
4,4,0.26,0.1800,0.200000,0.035117
3,4,0.18,0.2100,0.233333,0.03505
4,1,0.36,0.1500,0.600000,0.034969
2,3,0.26,0.1200,0.266667,0.034794
3,4,0.72,0.1500,0.533333,0.034755
3,2,0.54,0.1200,0.233333,0.034678
3,2,0.18,0.1200,0.300000,0.034279
4,1,0.54,0.1800,0.166667,0.034005
3,1,0.18,0.1500,0.266667,0.03376
4,1,0.54,0.1200,0.233333,0.033737
2,3,0.18,0.2100,0.900000,0.033711
4,1,0.36,0.2100,0.533333,0.033672
4,3,0.18,0.1200,0.300000,0.033476
3,1,0.54,0.2100,0.500000,0.033461
2,1,0.54,0.1200,0.233333,0.03325
4,2,0.54,0.1200,0.233333,0.03325
2,2,0.18,0.1200,0.966667,0.032983
3,3,0.18,0.1200,0.966667,0.032983
4,4,0.18,0.1200,0.966667,0.032983
2,1,0.54,0.1800,0.166667,0.032753
4,2,0.54,0.1800,0.166667,0.032753
4,2,0.54,0.1500,0.566667,0.032673
3,4,0.54,0.1200,0.633333,0.032581
3,4,0.26,0.1200,0.266667,0.032576
2,4,0.36,0.1500,0.200000,0.032502
2,1,0.72,0.2100,0.133333,0.032396
3,4,0.26,0.1500,0.233333,0.031857
3,4,0.54,0.1800,0.166667,0.031786
3,1,0.36,0.1500,0.233333,0.03169
3,4,0.54,0.1800,0.600000,0.031626
3,1,0.26,0.1200,0.266667,0.03162
2,1,0.26,0.2100,0.233333,0.031607
4,2,0.26,0.2100,0.233333,0.031607
2,1,0.26,0.1800,0.200000,0.031511
4,2,0.26,0.1800,0.200000,0.031511
4,3,0.36,0.1200,0.700000,0.030978
2,4,0.18,0.1800,0.200000,0.030947
2,2,0.26,0.1200,0.266667,0.030815
3,3,0.26,0.1200,0.266667,0.030815
4,4,0.26,0.1200,0.266667,0.030815
2,1,0.18,0.1500,0.266667,0.030534
4,2,0.18,0.1500,0.266667,0.030534
2,4,0.18,0.2100,0.200000,0.030349
3,2,0.26,0.2100,0.233333,0.03034
3,2,0.36,0.2100,0.200000,0.030159
2,3,0.72,0.1800,0.533333,0.030139
3,1,0.54,0.2100,0.200000,0.029859
3,1,0.18,0.1500,0.833333,0.029669
2,2,0.18,0.1500,0.266667,0.029474
3,3,0.18,0.1500,0.266667,0.029474
4,4,0.18,0.1500,0.266667,0.029474
3,2,0.72,0.2100,0.133333,0.029359
3,4,0.36,0.2100,0.166667,0.029293
3,1,0.54,0.1200,0.233333,0.028776
2,4,0.36,0.1500,0.733333,0.028774
4,3,0.54,0.1500,0.200000,0.028689
4,3,0.26,0.1800,0.200000,0.028506
2,2,0.36,0.1800,0.166667,0.028467
3,3,0.36,0.1800,0.166667,0.028467
4,4,0.36,0.1800,0.166667,0.028467
2,4,0.18,0.1800,0.966667,0.028349
2,1,0.36,0.1500,0.233333,0.028255
4,2,0.36,0.1500,0.233333,0.028255
3,4,0.36,0.1800,0.166667,0.02799
4,1,0.18,0.1800,0.200000,0.027928
2,1,0.54,0.1800,0.566667,0.027918
4,2,0.54,0.1800,0.566667,0.027918
2,4,0.72,0.1200,0.233333,0.027713
2,3,0.36,0.1500,0.200000,0.027544
4,1,0.26,0.1500,0.233333,0.027497
3,3,0.72,0.1800,0.166667,0.027486
2,1,0.26,0.1200,0.733333,0.027451
3,2,0.26,0.1800,0.200000,0.027446
4,1,0.18,0.2100,0.233333,0.027441
3,4,0.26,0.2100,0.800000,0.027399
3,2,0.18,0.1500,0.266667,0.027356
4,3,0.72,0.1200,0.533333,0.027304
4,1,0.36,0.2100,0.200000,0.027299
2,4,0.54,0.1500,0.200000,0.027298
3,1,0.54,0.1800,0.166667,0.027285
2,4,0.26,0.1800,0.833333,0.027242
3,4,0.72,0.1800,0.166667,0.027196
4,3,0.26,0.1200,0.266667,0.026878
3,4,0.26,0.1500,0.833333,0.026817
4,1,0.36,0.1800,0.166667,0.026799
3,2,0.54,0.1500,0.200000,0.026776
3,1,0.18,0.1800,0.200000,0.026761
3,2,0.72,0.1800,0.133333,0.026719
2,2,0.36,0.2100,0.166667,0.026607
3,3,0.36,0.2100,0.166667,0.026607
4,4,0.36,0.2100,0.166667,0.026607
2,1,0.72,0.1500,0.500000,0.026465
4,2,0.72,0.1500,0.500000,0.026465
2,3,0.54,0.1800,0.166667,0.02646
2,3,0.36,0.1800,0.166667,0.026331
3,3,0.54,0.1800,0.166667,0.026331
2,2,0.26,0.1500,0.233333,0.026304
3,3,0.26,0.1500,0.233333,0.026304
4,4,0.26,0.1500,0.233333,0.026304
2,3,0.36,0.2100,0.166667,0.026201
3,1,0.18,0.2100,0.233333,0.026199
4,1,0.72,0.1500,0.200000,0.026177
3,1,0.72,0.1800,0.166667,0.026167
2,2,0.26,0.2100,0.200000,0.025967
3,3,0.26,0.2100,0.200000,0.025967
4,4,0.26,0.2100,0.200000,0.025967
3,2,0.26,0.1200,0.266667,0.025885
4,3,0.18,0.1500,0.266667,0.025786
4,3,0.72,0.2100,0.133333,0.025784
4,2,0.26,0.1200,0.266667,0.02565
2,1,0.26,0.1200,0.266667,0.025648
2,3,0.54,0.1800,0.600000,0.025609
2,3,0.36,0.2100,0.700000,0.025415
4,1,0.18,0.1200,0.866667,0.025406
3,4,0.54,0.2100,0.166667,0.025039
2,3,0.18,0.1800,0.200000,0.025011
2,1,0.36,0.1800,0.633333,0.024774
4,2,0.36,0.1800,0.633333,0.024774
3,1,0.26,0.1500,0.233333,0.024574
2,1,0.72,0.1800,0.133333,0.024555
4,2,0.72,0.1800,0.133333,0.024483
4,1,0.18,0.1200,0.266667,0.024478
2,1,0.18,0.1800,0.200000,0.02442
4,2,0.18,0.1800,0.200000,0.02442
4,3,0.18,0.1200,0.966667,0.0242
4,3,0.72,0.1800,0.133333,0.023877
4,1,0.36,0.1200,0.233333,0.023655
2,1,0.18,0.2100,0.233333,0.023607
4,2,0.18,0.2100,0.233333,0.023607
3,1,0.36,0.1800,0.166667,0.023436
3,1,0.72,0.2100,0.166667,0.023246
3,1,0.36,0.2100,0.200000,0.023175
3,4,0.18,0.1200,1.000000,0.023169
2,3,0.26,0.1200,0.866667,0.023135
2,4,0.54,0.1200,0.633333,0.023076
2,4,0.18,0.1500,0.233333,0.022991
3,1,0.18,0.1200,0.266667,0.022953
3,4,0.18,0.1800,0.200000,0.022691
4,1,0.54,0.1500,0.200000,0.022547
2,4,0.18,0.1200,0.266667,0.022536
4,1,0.26,0.1200,0.733333,0.022521
3,4,0.36,0.1500,0.200000,0.02238
3,2,0.18,0.1800,0.200000,0.022151
4,1,0.26,0.2100,0.200000,0.021861
4,1,0.26,0.1800,0.166667,0.021727
2,3,0.26,0.1800,0.166667,0.021629
4,2,0.54,0.1500,0.200000,0.021604
2,3,0.26,0.2100,0.166667,0.021599
3,4,0.72,0.1800,0.533333,0.021585
2,2,0.36,0.1200,0.733333,0.021493
3,3,0.36,0.1200,0.733333,0.021493
4,4,0.36,0.1200,0.733333,0.021493
4,3,0.36,0.1800,0.166667,0.021473
2,2,0.72,0.1500,0.166667,0.021148
3,3,0.72,0.1500,0.166667,0.021148
4,4,0.72,0.1500,0.166667,0.021148
2,2,0.18,0.2100,0.233333,0.021086
3,3,0.18,0.2100,0.233333,0.021086
4,4,0.18,0.2100,0.233333,0.021086
3,2,0.18,0.2100,0.233333,0.020999
4,3,0.18,0.1800,0.200000,0.020985
4,1,0.72,0.1800,0.133333,0.020843
2,3,0.18,0.1200,0.266667,0.020541
2,1,0.54,0.2100,0.166667,0.020413
4,2,0.54,0.2100,0.166667,0.020413
4,2,0.72,0.2100,0.133333,0.020367
2,4,0.18,0.2100,0.933333,0.020363
2,4,0.36,0.1800,0.166667,0.02032
2,4,0.36,0.1200,0.766667,0.020314
3,1,0.36,0.1500,0.600000,0.02025
4,3,0.26,0.1500,0.233333,0.01999
2,4,0.72,0.1800,0.533333,0.019988
2,1,0.18,0.1200,0.266667,0.019952
4,2,0.18,0.1200,0.266667,0.019952
3,4,0.26,0.1800,0.166667,0.019942
4,3,0.18,0.2100,0.233333,0.019833
3,1,0.26,0.1800,0.166667,0.019821
2,4,0.26,0.2100,0.166667,0.019767
2,1,0.26,0.1500,0.233333,0.019729
4,2,0.26,0.1500,0.233333,0.019729
4,1,0.54,0.1800,0.133333,0.019692
2,4,0.26,0.1800,0.166667,0.019634
3,1,0.26,0.2100,0.200000,0.019616
4,3,0.54,0.1800,0.133333,0.019546
2,3,0.18,0.2100,0.200000,0.019474
2,1,0.36,0.1500,0.633333,0.019419
4,1,0.18,0.2100,0.233333,0.019419
4,2,0.36,0.2100,0.633333,0.019419
3,2,0.36,0.1800,0.166667,0.019276
3,4,0.18,0.1200,0.266667,0.019044
2,4,0.26,0.1500,0.200000,0.018987
2,3,0.26,0.1800,0.833333,0.018876
2,2,0.18,0.1800,0.200000,0.018871
3,3,0.18,0.1800,0.200000,0.018871
4,4,0.18,0.1800,0.200000,0.018871
3,4,0.72,0.2100,0.166667,0.018868
3,1,0.36,0.1200,0.233333,0.018769
4,3,0.54,0.2100,0.133333,0.018756
3,4,0.54,0.1200,0.233333,0.018721
3,1,0.72,0.1500,0.466667,0.01854
2,1,0.54,0.1500,0.233333,0.018531
2,3,0.18,0.1500,0.233333,0.018531
2,3,0.54,0.2100,0.166667,0.018373
3,2,0.26,0.1500,0.233333,0.018171
2,2,0.54,0.2100,0.133333,0.01817
3,3,0.54,0.2100,0.133333,0.01817
4,4,0.54,0.2100,0.133333,0.01817
3,1,0.18,0.1500,0.233333,0.018151
3,4,0.26,0.2100,0.166667,0.018034
2,4,0.54,0.1800,0.600000,0.017827
2,2,0.54,0.1800,0.600000,0.017822
4,4,0.54,0.1800,0.600000,0.017822
3,2,0.54,0.1800,0.133333,0.017621
2,3,0.54,0.1200,0.233333,0.017584
2,1,0.36,0.1800,0.166667,0.017556
4,2,0.36,0.1800,0.166667,0.017556
4,1,0.54,0.1200,0.533333,0.017484
4,1,0.26,0.1200,0.233333,0.017437
2,2,0.18,0.1800,0.900000,0.016961
3,3,0.18,0.1800,0.900000,0.016961
4,4,0.18,0.1800,0.900000,0.016961
3,2,0.18,0.1200,0.266667,0.01696
2,2,0.54,0.1800,0.133333,0.016948
4,4,0.54,0.1800,0.133333,0.016948
3,1,0.18,0.1200,0.866667,0.016752
2,1,0.36,0.2100,0.200000,0.016678
4,2,0.36,0.2100,0.200000,0.016678
4,1,0.72,0.2100,0.166667,0.016674
2,1,0.26,0.1800,0.166667,0.016542
4,2,0.26,0.1800,0.166667,0.016542
2,3,0.72,0.1800,0.166667,0.016539
4,1,0.18,0.1800,0.166667,0.01651
4,1,0.36,0.1800,0.133333,0.016361
2,2,0.18,0.1200,0.266667,0.016355
3,3,0.18,0.1200,0.266667,0.016355
4,4,0.18,0.1200,0.266667,0.016355
3,4,0.18,0.1500,0.233333,0.016318
4,1,0.36,0.1500,0.200000,0.016311
2,4,0.72,0.1500,0.200000,0.016077
2,4,0.36,0.2100,0.166667,0.016051
3,2,0.18,0.1800,0.800000,0.016005
4,1,0.18,0.2100,0.200000,0.015929
3,1,0.54,0.1500,0.200000,0.015867
2,1,0.18,0.1500,0.233333,0.015753
4,2,0.18,0.1500,0.233333,0.015753
2,3,0.36,0.1200,0.233333,0.015623
4,1,0.54,0.2100,0.166667,0.015615
3,1,0.18,0.1800,0.166667,0.015534
4,3,0.18,0.1200,0.266667,0.015456
4,3,0.26,0.1500,0.766667,0.015443
2,1,0.26,0.2100,0.200000,0.015416
4,2,0.26,0.2100,0.200000,0.015416
3,4,0.18,0.2100,0.200000,0.01533
3,1,0.54,0.1800,0.133333,0.015312
2,2,0.72,0.1800,0.133333,0.015212
4,4,0.72,0.1800,0.133333,0.015212
2,2,0.26,0.1800,0.166667,0.015174
3,3,0.26,0.1800,0.166667,0.015174
4,4,0.26,0.1800,0.166667,0.015174
3,4,0.36,0.2100,0.700000,0.014948
3,1,0.18,0.2100,0.200000,0.014867
2,4,0.18,0.1800,0.166667,0.014708
2,2,0.36,0.1500,0.200000,0.014649
3,3,0.36,0.1500,0.200000,0.014649
4,4,0.36,0.1500,0.200000,0.014649
3,1,0.26,0.1200,0.233333,0.014639
3,4,0.36,0.1200,0.233333,0.014614
2,4,0.54,0.1200,0.233333,0.014568
4,3,0.36,0.1200,0.233333,0.014349
3,2,0.54,0.2100,0.133333,0.014322
2,3,0.72,0.2100,0.166667,0.0143
3,1,0.36,0.1800,0.133333,0.014266
2,3,0.36,0.1200,0.733333,0.013892
3,2,0.36,0.1500,0.233333,0.013892
2,1,0.18,0.1800,0.166667,0.013876
4,2,0.18,0.1800,0.166667,0.013876
4,3,0.26,0.2100,0.200000,0.013829
4,1,0.36,0.2100,0.166667,0.013766
4,1,0.26,0.1500,0.200000,0.013763
3,4,0.36,0.2100,0.133333,0.013753
2,4,0.18,0.2100,0.166667,0.01367
4,3,0.72,0.1500,0.166667,0.013609
2,2,0.36,0.1200,0.233333,0.013591
3,3,0.36,0.1200,0.233333,0.013591
4,4,0.36,0.1200,0.233333,0.013591
2,1,0.54,0.1800,0.133333,0.013495
4,2,0.54,0.1800,0.133333,0.013495
